Name,Title,Description,Price,Stock
msk_full_hood_owls,"Fullprint толстовка ""Мистические Совы"".","    Fullprint флюрная толстовка с легендарными совами, давно ставшими хитами. Принты на рукавах, капюшоне, спине и груди. Таких в мире всего 4 штуки. Осталось свободных всего 2шт, обе размера М для парней, также отлично подойдет и для девушек с размерами L. Смотрите параметры на актуальной размерной сетке на последнем фото.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",7500,2
msk_full_h_darkpsy,"Fullprint толстовка ""Dark Psy"".","    Fullprint флюрная толстовка ""Dark Psy"".  Такая в мире всего одна толстовка c капюшоном, размера М для парней, либо для девушки с размерами L. Смотрите параметры худи на актуальной размерной сетке на последнем фото. Это геометрическая интерпретация полотна ""Dark Forest"". С таким паттерном всего было выпущено 2 свитшота, данная худи и с похожим паттерном еще одно парео. 
    По истине эксклюзивная вещь. Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",7500,1
msk_full_h_durga,"Fullprint толстовка ""Durga"".","    Fullprint флюрная толстовка ""Durga"".  Такая в мире всего одна толстовка c капюшоном, размера М для парней, либо для девушки с размерами L. Смотрите параметры худи на актуальной размерной сетке на последнем фото. Это совершенно новый дизайн, с которым было выпущено всего два полотна и эта толстовка.
    По истине эксклюзивная вещь. Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",7500,1
msk_poreo biddhist clouds,"Парео ""Buddha in Clouds"".","    Шарф, накидка, тюрбан, чалма, парео из шифона с полностью флюрным принтом из буддийских облаков оранжевого цвета. Единственный в мире. Размер 3 метра в длину и 75см в ширину.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1",4500,1
msk_poreo blue pattern,"Парео ""Blueberry Kiss"".","    Унисекс шарф ""Blueberry Kiss"", накидка, тюрбан, чалма, парео из шифона с полностью флюрным принтом из природного ягодного паттерна. Единственный в мире. Размер 3 метра в длину и 75см в ширину. Подходит и девушкам, и парням. Актуально в любое время года.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",4500,1
msk_poreo dark forest,"Парео ""Dark Psy"".","    Унисекс шарф ""Dark Psy"", накидка, тюрбан, чалма, парео из шифона с полностью флюрным принтом из природного ягодного паттерна. Единственный в мире. Размер 3 метра в длину и 75см в ширину. Подходит и девушкам, и парням. Актуально в любое время года.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",4500,1
msk_poreo flower,"Парео ""Flower Of Life"".","    Унисекс шарф ""Flower Of Life"" или ""Цветок Жизни"", накидка, тюрбан, чалма, парео из шифона с сакральной геометрией. Таких в мире всего 3шт. Осталась в наличии 1шт. Размер 3 метра в длину и 75см в ширину. Подходит и девушкам, и парням. Актуально в любое время года.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",4500,1
msk_poreo swasti,"Парео ""Cosmic Sky"".","    Унисекс шарф ""Cosmis Sky"", накидка, тюрбан, чалма, парео из шифона с космическим полотном из галактик и млечных путей. Таких в мире всего 1шт. Размер 3 метра в длину и 75см в ширину. Подходит и девушкам, и парням. Актуально в любое время года.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",4500,1
msk_bag_bleberry_msk,Рюкзак флюрный fullprint для вещей «Blueberry».,"Двусторонний рюкзак для одежды, пляжная, спортивная сумка. Изготовлена из футера синтетического петельчатого, стретч. Для легких вещей. В походе можно использовать как подушку, положив в нее, например, куртку. Полностью запечатана визионерскими авторскими принтами, которые активно светятся в ультрафиолете и неоне, а также превращаются в объемные голограммы в очках chromadepth. Всего одна штука в наличии и в мире.",3500,1
msk_bag_dark_msk,Рюкзак флюрный fullprint для вещей «Dark Forest».,"Легкий рюкзак для одежды, пляжная, спортивная сумка. Изготовлена из футера синтетического петельчатого, стретч. Для легких вещей. В походе можно использовать как подушку, положив в нее, например, куртку. Полностью запечатана визионерскими авторскими принтами с обеих сторон, которые активно светятся в ультрафиолете и неоне, а также превращаются в объемные голограммы в очках chromadepth. Всего одна штука в наличии и в мире.",3500,1
msk_bag_hexon_msk,Рюкзак флюрный fullprint для вещей «Hexon».,"Легкий рюкзак для одежды, пляжная, спортивная сумка. Изготовлена из футера синтетического петельчатого, стретч. Для легких вещей. В походе можно использовать как подушку, положив в нее, например, куртку. Полностью запечатана визионерскими авторскими принтами с обеих сторон, которые активно светятся в ультрафиолете и неоне, а также превращаются в объемные голограммы в очках chromadepth. Всего одна штука в наличии и в мире.",3500,1
msk_bag_owls_msk,Рюкзак флюрный fullprint для вещей «Mystic Owls».,"Легкий рюкзак для одежды, пляжная, спортивная сумка. Изготовлена из футера синтетического петельчатого, стретч. Для легких вещей. В походе можно использовать как подушку, положив в нее, например, куртку. Полностью запечатана визионерскими авторскими принтами с обеих сторон, которые активно светятся в ультрафиолете и неоне, а также превращаются в объемные голограммы в очках chromadepth. Всего одна штука в наличии и в мире.",3500,1
msk_pants_msk,Штаны полностью флюрные fullprint UV-Active.,"На парней размера M-L и роста 188-200. Изготовлено всего 4 пары штанов , каждого вида по 1 шт. Полностью флюрные принты, все разные. Карманы на молниях. Футер синтетический. Принты не выстирываются, не тускнеют. Активно светятся в ултрафиолете и неоне, превращаются в 3Д голограммы в очках chromadepth.",6500,3
spb_olymp_spb,Олимпийка полностью флюрная с полосками и светоотражающей молнией.,"Эксклюзивная вещь. Отшито всего две похожие олимпийки, но не идентичные. Размер L. Подойдет и парням и девушкам. Приобрести можно по кнопке ниже. Доставка по всей России.",7500,1
spb_full_darkpattern_swtshrt,Fullprint свитшот Dark Psy.,"    Fullprint свитшот Dark Psy.​ Сделано в России.
    Полностью запринтованный флюрным паттерном из композиции Dark Forest свитшот сшит в Санкт-Петербурге Анастасией Anahart из первоклассного синтетического футера. Размер М. Всего таких свитшотов в мире 3шт. Остался в наличии один. Повторов не предвидится. Успей приобрести уникальный костюм для вечеринки или даже в повседневной жизни он будет смотреться довольно акккуратно. 4Rave & Casual.
    Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в голограммы в 3D в очках chromadepth.
    Доставка по России 450р. 
    Примерить и приобрести на месте можно в Санкт-Петербурге в магазине Boogie Shop на большой Конюшенной 17, м. Невский Проспект (также  подойдет м. Адмиралтейская).",7500,1
spb_thaidie,Комплект толстовка и штаны в стиле тай-дай.,"    Спортивный костюм тай дай черно-белый готичный стиль. Сделано в России.
    Эксклюзивная толстовка + штаны.
    Толстовка и штаны сшиты в единственном экземпляре Анастасией Anahart в Санкт-Петербурге из 100% хлопкового футера премиум качества. Размер М. Комплект 11тр. Можно приобрести отдельно штаны за 6500 или толстовку за 7500.
    Доставка по России 450р. 
    Доставка по всему миру (40$). 
    Примерить и приобрести на месте можно в Санкт-Петербурге в магазине Boogie Shop на большой Конюшенной 17, ​ м. Невский Проспект (также  подойдет м. Адмиралтейская).",11000,1
spb_lumino_swtshrt,"Свитшот Cosmic Star
светится в темноте.","    Сделано в России.
    Именно этот свитшот на фото сшит в единственном экземпляре Анастасией Anahart в Санкт-Петербурге из 100% хлопкового футера премиум качества. Размер L.
    Черно-белый принт активно светится в ультрафиолете и неоне, а также светится сам по себе в кромешной тьме, если его предварительно зарядить на солнце или в уф. 
    При покупке онлайн цена 7500.
    Доставка по России 450р. 
    Доставка по всему миру (40$).
    Примерить и приобрести на месте можно в Санкт-Петербурге в магазине Boogie Shop на большой Конюшенной 17, ​ м. Невский Проспект (также  подойдет м. Адмиралтейская).",7500,1
spb_full_tshirt_blue_female,"Fullprint футболка женская ""Blueberry Kiss"".","    Fullprint футболка женская ""Blueberry Kiss"".​ Сделана в России.
    Полностью запринтованная флуоресцентными авторскими рисунками футболка женская сшита в Санкт-Петербурге Анастасией Anahart из премиального материала, спортивная сетка, как в формах футболистов и баскетболистов, только наши принты еще и акьтивно светятся в ультрафиолете. Размер S.  Такая в мире всего одна. Повторов не будет никогда. Rave & Casual.
    Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в голограммы в 3D в очках chromadepth.
    Доставка по России 450р. 
    Доставка по всему миру (40$). 
    Примерить и приобрести на месте можно в Санкт-Петербурге в магазине Boogie Shop на большой Конюшенной 17, м. Невский Проспект (также  подойдет м. Адмиралтейская).",2750,1
spb_ttsh_w_baba_red_spb,"Футболка ""Cosmic Star"" хлопковая красная женская светится в темноте.","Футболка женская хлопковая, handmade by An Anahart. Такая тоже всего одна 1шт в мире, так как принты также наносились и собирались вручную по типу аппликации. Принты светятся в ультрафиолете и неоне , а также после подзарядки на свету - светятся в темноте сами по себе. Подходит для разного типа девушек. Как и любительницам вечеринок, так и просто ценительницам качества и ручной работы.☺️❤️",2750,1
spb_tank_m_fluo_red_spb,"Флюрная мужская майка ""1000 и одна ночь"".","Оригинальный красный орнамент в восточном стиле, авторский, так как отрисован художником самостоятельно вручную. Тщательно подобраный размер паттерна создает ощущение светящейся и объемной паутины. Материал спортивная сетка. Принт светится в темноте и не выстирывается со временем. Крепко, надежно, навека. Сшит руками Анастасии Анахарт. В единственном экземпляре. Размер М-XL. ONE SIZE.",2750,1
spb_ttop_w_fluo_red_spb,"Майка женская, флюрная ""Арабская ночь"".","Майка женская, флюрная. Спортивная сетка. С авторским паттерном от Anahart в восточном стиле. Женская единственная в своем роде. Есть еще такая же мужская, также единственная вещь. Активно светится в ультрафиолете. Подходит и для спортзала, и для клуба, и для пляжа и просто в обычной повседневной жизни красивая аккуратная майка. Сшита руками AN ANAHART 🔥👍.",2750,1
spb_ttop_w_fluo_swast_spb,"Майка женская, флюрная. ""Cosmic Sky"".","Майка женская, флюрная. Спортивная сетка. С авторским флуоресцентным цветочным принтом. Женская S-чка. Единственная в своем роде. Активно светится в ультрафиолете. Подходит и для спортзала, и для клуба, и для пляжа и просто в обычной повседневной жизни красивая аккуратная майка. Сшита рукам Анастасии Anahart.",2750,1
spb_ttop_w_pink_spb,"Майка женская, флюрная. ""Pink Star"".","Майка женская хлопковая. Handmade. Сшито вручную Анастасией, принты светятся в ультрафиолете, неоне и темноте. Единственная такая красная женская майка в мире. Цена 2750р доставка 450р. Примерить и приобрести на месте можно в Санкт-Петербурге в магазине Boogie Shop на Большой Конюшенной 17.",2750,1
spb_ttop_w_red_spb,"Майка женская красная ""Cosmic Star"".","Майка женская хлопковая. Handmade. Сшито вручную Анастасией, принты светятся в ультрафиолете, неоне и темноте. Единственная такая красная женская майка в мире. Цена 2750р доставка 450р. Примерить и приобрести на месте можно в Санкт-Петербурге в магазине Boogie Shop на Большой Конюшенной 17.",2750,1
spb_ttsh_m_baba_blue_spb,"Фусболка мужская хлопковая синяя ""Cosmic Star"" Светится в темноте. ","Футболка ONE SIZE из премиального хлока, кулирная гладь. Отлично подходит для парней от M до XL. Прекрасно подойдет и девушкам, которые любят ходить в больших, свободных, приятных футболках. Свободная, дышащая, мягкая на ощупь ткань. Авторские принты светятся в ультрафиолете и неоне. А также сами по себе в кромешной тьме принты светятся ярким зеленым фосфорирующим светом, если предварительно зарядить на солнце или под уф лампами. Handmade, сшита вручную Анастасией Анахарт, всего 1 штука мужская и есть еще похожая именно женская! Стоимость всего 2750р. Доставка по РФ - 450р. Локально померить и приобрести можно в магазине Boogie Shop по адресу Лиговский проспект 74.",2750,1
spb_ttsh_m_baba_grey_spb,"Фусболка мужская хлопковая серая ""Glow In Dark"" Светится в темноте. ","Футболка ONE SIZE с широкой горловиной-стойкой из премиального хлока, кулирная гладь. Отлично подходит для парней от M до XL. Прекрасно подойдет и девушкам, которые любят ходить в больших, свободных, приятных футболках. Свободная, дышащая, мягкая на ощупь ткань. Авторские принты светятся в ультрафиолете и неоне. А также сами по себе в кромешной тьме принты светятся ярким зеленым фосфорирующим светом, если предварительно зарядить на солнце или под уф лампами. Handmade, сшита вручную @ananahart, всего 1 штука! В мире таких больше нет! Стоимость всего 2750р. Доставка по РФ - 450р. Локально померить и приобрести можно в магазине Boogie Shop по адресу Лиговский проспект 74.",2750,1
spb_ttsh_w_baba_blue_spb,"Фусболка женская хлопковая синяя ""Cosmic Star"" Светится в темноте. ","Женская Мка. Премиальная хлопковая ткань, авторские принты светятся в ультрафиолете и неоне , и просто светятся в темноте. 2750 футболка. Находится в Буги Шоп в Спб. Доставка по Росии 450р.",2750,1